,Week,Date,Time (CT),Opponent,Result,Record,Venue,TV,Recap
0,1,September 10,3:25 p.m.,Green Bay Packers,L 20–38,0–1,Soldier Field,Fox,Recap
1,2,September 17,12:00 p.m.,at Tampa Bay Buccaneers,L 17–27,0–2,Raymond James Stadium,Fox,Recap
2,3,September 24,3:25 p.m.,at Kansas City Chiefs,L 10–41,0–3,Arrowhead Stadium,Fox,Recap
3,4,October 1,12:00 p.m.,Denver Broncos,L 28–31,0–4,Soldier Field,CBS,Recap
4,5,October 5,7:15 p.m.,at Washington Commanders,W 40–20,1–4,FedExField,Prime Video,Recap
5,6,October 15,12:00 p.m.,Minnesota Vikings,,,Soldier Field,Fox,
6,7,October 22,12:00 p.m.,Las Vegas Raiders,,,Soldier Field,Fox,
7,8,October 29,7:20 p.m.,at Los Angeles Chargers,,,SoFi Stadium,NBC,
8,9,November 5,12:00 p.m.,at New Orleans Saints,,,Caesars Superdome,CBS,
9,10,November 9,7:15 p.m.,Carolina Panthers,,,Soldier Field,Prime Video,
10,11,November 19,12:00 p.m.,at Detroit Lions,,,Ford Field,Fox,
11,12,November 27,7:15 p.m.,at Minnesota Vikings,,,U.S. Bank Stadium,ESPN,
12,13,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
13,14,December 10,12:00 p.m.,Detroit Lions,,,Soldier Field,Fox,
14,15,TBD (December 16/17/18),TBD,at Cleveland Browns,,,Cleveland Browns Stadium,TBD,
15,16,December 24,3:25 p.m.,Arizona Cardinals,,,Soldier Field,Fox,
16,17,December 31,12:00 p.m.,Atlanta Falcons,,,Soldier Field,CBS,
17,18,TBD (January 6/7),TBD,at Green Bay Packers,,,Lambeau Field,TBD,
18,"Notes: * Intra-division opponents are in bold text. * Networks and times from Weeks 7–17 are subject to change as a result of flexible scheduling. * The date, time and network for Week 15 will be finalized at a later date. * The date, time and network for Week 18 will be finalized at the end of Week 17.","Notes: * Intra-division opponents are in bold text. * Networks and times from Weeks 7–17 are subject to change as a result of flexible scheduling. * The date, time and network for Week 15 will be finalized at a later date. * The date, time and network for Week 18 will be finalized at the end of Week 17.","Notes: * Intra-division opponents are in bold text. * Networks and times from Weeks 7–17 are subject to change as a result of flexible scheduling. * The date, time and network for Week 15 will be finalized at a later date. * The date, time and network for Week 18 will be finalized at the end of Week 17.","Notes: * Intra-division opponents are in bold text. * Networks and times from Weeks 7–17 are subject to change as a result of flexible scheduling. * The date, time and network for Week 15 will be finalized at a later date. * The date, time and network for Week 18 will be finalized at the end of Week 17.","Notes: * Intra-division opponents are in bold text. * Networks and times from Weeks 7–17 are subject to change as a result of flexible scheduling. * The date, time and network for Week 15 will be finalized at a later date. * The date, time and network for Week 18 will be finalized at the end of Week 17.","Notes: * Intra-division opponents are in bold text. * Networks and times from Weeks 7–17 are subject to change as a result of flexible scheduling. * The date, time and network for Week 15 will be finalized at a later date. * The date, time and network for Week 18 will be finalized at the end of Week 17.","Notes: * Intra-division opponents are in bold text. * Networks and times from Weeks 7–17 are subject to change as a result of flexible scheduling. * The date, time and network for Week 15 will be finalized at a later date. * The date, time and network for Week 18 will be finalized at the end of Week 17.","Notes: * Intra-division opponents are in bold text. * Networks and times from Weeks 7–17 are subject to change as a result of flexible scheduling. * The date, time and network for Week 15 will be finalized at a later date. * The date, time and network for Week 18 will be finalized at the end of Week 17.","Notes: * Intra-division opponents are in bold text. * Networks and times from Weeks 7–17 are subject to change as a result of flexible scheduling. * The date, time and network for Week 15 will be finalized at a later date. * The date, time and network for Week 18 will be finalized at the end of Week 17."
