,Week,Date,Time (ET),Opponent,Result,Record,Venue,TV,Recap
0,1,September 10,1:00 p.m.,at Cleveland Browns,L 3–24,0–1,Cleveland Browns Stadium,CBS,Recap
1,2,September 17,1:00 p.m.,Baltimore Ravens,L 24–27,0–2,Paycor Stadium,CBS,Recap
2,3,September 25,8:15 p.m.,Los Angeles Rams,W 19–16,1–2,Paycor Stadium,ESPN,Recap
3,4,October 1,1:00 p.m.,at Tennessee Titans,L 3–27,1–3,Nissan Stadium,Fox,Recap
4,5,October 8,4:05 p.m.,at Arizona Cardinals,W 34–20,2–3,State Farm Stadium,Fox,Recap
5,6,October 15,1:00 p.m.,Seattle Seahawks,,,Paycor Stadium,CBS,
6,7,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
7,8,October 29,4:25 p.m.,at San Francisco 49ers,,,Levi's Stadium,CBS,
8,9,November 5,8:20 p.m.,Buffalo Bills,,,Paycor Stadium,NBC,
9,10,November 12,1:00 p.m.,Houston Texans,,,Paycor Stadium,CBS,
10,11,November 16,8:15 p.m.,at Baltimore Ravens,,,M&T Bank Stadium,Prime Video,
11,12,November 26,1:00 p.m.,Pittsburgh Steelers,,,Paycor Stadium,CBS,
12,13,December 4,8:15 p.m.,at Jacksonville Jaguars,,,EverBank Stadium,ESPN,
13,14,December 10,1:00 p.m.,Indianapolis Colts,,,Paycor Stadium,CBS,
14,15,TBD (December 16/17/18),TBD,Minnesota Vikings,,,Paycor Stadium,TBD,
15,16,December 23,4:30 p.m.,at Pittsburgh Steelers,,,Acrisure Stadium,NBC,
16,17,December 31,4:25 p.m.,at Kansas City Chiefs,,,Arrowhead Stadium,CBS,
17,18,TBD (January 6/7),TBD,Cleveland Browns,,,Paycor Stadium,TBD,
