,Week,Date,Time (ET),Opponent,Result,Record,Venue,TV,Recap
0,1,September 11,8:15 p.m.,at New York Jets,L 16–22 (OT),0–1,MetLife Stadium,ESPN/ABC,Recap
1,2,September 17,1:00 p.m.,Las Vegas Raiders,W 38–10,1–1,Highmark Stadium,CBS,Recap
2,3,September 24,1:00 p.m.,at Washington Commanders,W 37–3,2–1,FedExField,CBS,Recap
3,4,October 1,1:00 p.m.,Miami Dolphins,W 48–20,3–1,Highmark Stadium,CBS,Recap
4,5,October 8,9:30 a.m.,Jacksonville Jaguars,L 20–25,3–2,Tottenham Hotspur Stadium (London),NFLN,Recap
5,6,October 15,8:20 p.m.,New York Giants,,,Highmark Stadium,NBC,
6,7,October 22,1:00 p.m.,at New England Patriots,,,Gillette Stadium,CBS,
7,8,October 26,8:15 p.m.,Tampa Bay Buccaneers,,,Highmark Stadium,Prime Video,
8,9,November 5,8:20 p.m.,at Cincinnati Bengals,,,Paycor Stadium,NBC,
9,10,November 13,8:15 p.m.,Denver Broncos,,,Highmark Stadium,ESPN/ABC,
10,11,November 19,4:25 p.m.,New York Jets,,,Highmark Stadium,CBS,
11,12,November 26,4:25 p.m.,at Philadelphia Eagles,,,Lincoln Financial Field,CBS,
12,13,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
13,14,December 10,4:25 p.m.,at Kansas City Chiefs,,,Arrowhead Stadium,CBS,
14,15,December 17,4:25 p.m.,Dallas Cowboys,,,Highmark Stadium,Fox,
15,16,December 23,8:00 p.m.,at Los Angeles Chargers,,,SoFi Stadium,Peacock,
16,17,December 31,4:25 p.m.,New England Patriots,,,Highmark Stadium,CBS,
17,18,TBD (January 6/7),TBD,at Miami Dolphins,,,Hard Rock Stadium,TBD,
