,Week,Date,Time (ET),Opponent,Result,Record,Venue,TV,Recap
0,1,September 10,1:00 p.m.,Cincinnati Bengals,W 24–3,1–0,Cleveland Browns Stadium,CBS,Recap
1,2,September 18,8:15 p.m.,at Pittsburgh Steelers,L 22–26,1–1,Acrisure Stadium,ABC,Recap
2,3,September 24,1:00 p.m.,Tennessee Titans,W 27–3,2–1,Cleveland Browns Stadium,CBS,Recap
3,4,October 1,1:00 p.m.,Baltimore Ravens,L 3–28,2–2,Cleveland Browns Stadium,CBS,Recap
4,5,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
5,6,October 15,1:00 p.m.,San Francisco 49ers,,,Cleveland Browns Stadium,Fox,
6,7,October 22,1:00 p.m.,at Indianapolis Colts,,,Lucas Oil Stadium,CBS,
7,8,October 29,4:05 p.m.,at Seattle Seahawks,,,Lumen Field,Fox,
8,9,November 5,1:00 p.m.,Arizona Cardinals,,,Cleveland Browns Stadium,CBS,
9,10,November 12,1:00 p.m.,at Baltimore Ravens,,,M&T Bank Stadium,Fox,
10,11,November 19,1:00 p.m.,Pittsburgh Steelers,,,Cleveland Browns Stadium,CBS,
11,12,November 26,4:05 p.m.,at Denver Broncos,,,Empower Field at Mile High,Fox,
12,13,December 3,4:25 p.m.,at Los Angeles Rams,,,SoFi Stadium,Fox,
13,14,December 10,1:00 p.m.,Jacksonville Jaguars,,,Cleveland Browns Stadium,CBS,
14,15,TBD (December 16/17/18),TBD,Chicago Bears,,,Cleveland Browns Stadium,TBD,
15,16,December 24,1:00 p.m.,at Houston Texans,,,NRG Stadium,CBS,
16,17,December 28,8:15 p.m.,New York Jets,,,Cleveland Browns Stadium,Prime Video,
17,18,TBD (January 6/7),TBD,at Cincinnati Bengals,,,Paycor Stadium,TBD,
