,Week,Date,Time (PT),Opponent,Result,Record,Venue,TV,Recap
0,1,September 10,1:25 p.m.,Miami Dolphins,L 34–36,0–1,SoFi Stadium,CBS,Recap
1,2,September 17,10:00 a.m.,at Tennessee Titans,L 24–27 (OT),0–2,Nissan Stadium,CBS,Recap
2,3,September 24,10:00 a.m.,at Minnesota Vikings,W 28–24,1–2,U.S. Bank Stadium,Fox,Recap
3,4,October 1,1:05 p.m.,Las Vegas Raiders,W 24–17,2–2,SoFi Stadium,CBS,Recap
4,5,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
5,6,October 16,5:15 p.m.,Dallas Cowboys,,,SoFi Stadium,ESPN,
6,7,October 22,1:25 p.m.,at Kansas City Chiefs,,,Arrowhead Stadium,CBS,
7,8,October 29,5:20 p.m.,Chicago Bears,,,SoFi Stadium,NBC,
8,9,November 6,5:15 p.m.,at New York Jets,,,MetLife Stadium,ESPN,
9,10,November 12,1:05 p.m.,Detroit Lions,,,SoFi Stadium,CBS,
10,11,November 19,10:00 a.m.,at Green Bay Packers,,,Lambeau Field,Fox,
11,12,November 26,5:20 p.m.,Baltimore Ravens,,,SoFi Stadium,NBC,
12,13,December 3,10:00 a.m.,at New England Patriots,,,Gillette Stadium,CBS,
13,14,December 10,1:25 p.m.,Denver Broncos,,,SoFi Stadium,CBS,
14,15,December 14,5:15 p.m.,at Las Vegas Raiders,,,Allegiant Stadium,Prime Video,
15,16,December 23,5:00 p.m.,Buffalo Bills,,,SoFi Stadium,Peacock,
16,17,December 31,1:25 p.m.,at Denver Broncos,,,Empower Field at Mile High,CBS,
17,18,TBD (January 6/7),TBD,Kansas City Chiefs,,,SoFi Stadium,TBD,
