,Week,Date,Time (CT),Opponent,Result,Record,Venue,TV,Recap
0,1,September 7,7:20 p.m.,Detroit Lions,L 20–21,0–1,Arrowhead Stadium,NBC,Recap
1,2,September 17,12:00 p.m.,at Jacksonville Jaguars,W 17–9,1–1,EverBank Stadium,CBS,Recap
2,3,September 24,3:25 p.m.,Chicago Bears,W 41–10,2–1,Arrowhead Stadium,Fox,Recap
3,4,October 1,7:20 p.m.,at New York Jets,W 23–20,3–1,MetLife Stadium,NBC,Recap
4,5,October 8,3:25 p.m.,at Minnesota Vikings,W 27–20,4–1,U.S. Bank Stadium,CBS,Recap
5,6,October 12,7:15 p.m.,Denver Broncos,,,Arrowhead Stadium,Prime Video,
6,7,October 22,3:25 p.m.,Los Angeles Chargers,,,Arrowhead Stadium,CBS,
7,8,October 29,3:25 p.m.,at Denver Broncos,,,Empower Field at Mile High,CBS,
8,9,November 5,8:30 a.m.,Miami Dolphins,,,Deutsche Bank Park (Frankfurt),NFLN,
9,10,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
10,11,November 20,7:15 p.m.,Philadelphia Eagles,,,Arrowhead Stadium,ESPN/ABC ESPN+,
11,12,November 26,3:25 p.m.,at Las Vegas Raiders,,,Allegiant Stadium,CBS,
12,13,December 3,7:20 p.m.,at Green Bay Packers,,,Lambeau Field,NBC,
13,14,December 10,3:25 p.m.,Buffalo Bills,,,Arrowhead Stadium,CBS,
14,15,December 18,7:15 p.m.,at New England Patriots,,,Gillette Stadium,ESPN,
15,16,December 25,12:00 p.m.,Las Vegas Raiders,,,Arrowhead Stadium,CBS/Nick,
16,17,December 31,3:25 p.m.,Cincinnati Bengals,,,Arrowhead Stadium,CBS,
17,18,January 6/7,TBD,at Los Angeles Chargers,,,SoFi Stadium,TBD,
