,Week,Date,Time (ET),Opponent,Result,Record,Venue,TV,Recap
0,1,September 10,1:00 p.m.,Jacksonville Jaguars,L 21–31,0–1,Lucas Oil Stadium,Fox,Recap
1,2,September 17,1:00 p.m.,at Houston Texans,W 31–20,1–1,NRG Stadium,Fox,Recap
2,3,September 24,1:00 p.m.,at Baltimore Ravens,W 22–19 (OT),2–1,M&T Bank Stadium,CBS,Recap
3,4,October 1,1:00 p.m.,Los Angeles Rams,L 23–29 (OT),2–2,Lucas Oil Stadium,Fox,Recap
4,5,October 8,1:00 p.m.,Tennessee Titans,W 23–16,3–2,Lucas Oil Stadium,CBS,Recap
5,6,October 15,1:00 p.m.,at Jacksonville Jaguars,,,EverBank Stadium,CBS,
6,7,October 22,1:00 p.m.,Cleveland Browns,,,Lucas Oil Stadium,CBS,
7,8,October 29,1:00 p.m.,New Orleans Saints,,,Lucas Oil Stadium,Fox,
8,9,November 5,4:05 p.m.,at Carolina Panthers,,,Bank of America Stadium,CBS,
9,10,November 12,9:30 a.m.,at New England Patriots,,,Deutsche Bank Park (Frankfurt),NFLN,
10,11,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
11,12,November 26,1:00 p.m.,Tampa Bay Buccaneers,,,Lucas Oil Stadium,CBS,
12,13,December 3,1:00 p.m.,at Tennessee Titans,,,Nissan Stadium,CBS,
13,14,December 10,1:00 p.m.,at Cincinnati Bengals,,,Paycor Stadium,CBS,
14,15,TBD (December 16/17/18),TBD,Pittsburgh Steelers,,,Lucas Oil Stadium,TBD,
15,16,December 24,1:00 p.m.,at Atlanta Falcons,,,Mercedes-Benz Stadium,Fox,
16,17,December 31,1:00 p.m.,Las Vegas Raiders,,,Lucas Oil Stadium,CBS,
17,18,TBD (January 6/7),TBD,Houston Texans,,,Lucas Oil Stadium,TBD,
