,Week,Date,Time (CT),Opponent,Result,Record,Venue,TV,Recap
0,1,September 10,7:20 p.m.,at New York Giants,W 40–0,1–0,MetLife Stadium,NBC,Recap
1,2,September 17,3:25 p.m.,New York Jets,W 30–10,2–0,AT&T Stadium,CBS,Recap
2,3,September 24,3:25 p.m.,at Arizona Cardinals,L 16–28,2–1,State Farm Stadium,Fox,Recap
3,4,October 1,3:25 p.m.,New England Patriots,W 38–3,3–1,AT&T Stadium,Fox,Recap
4,5,October 8,7:20 p.m.,at San Francisco 49ers,L 10–42,3–2,Levi's Stadium,NBC,Recap
5,6,October 16,7:15 p.m.,at Los Angeles Chargers,,,SoFi Stadium,ESPN/ABC,
6,7,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
7,8,October 29,12:00 p.m.,Los Angeles Rams,,,AT&T Stadium,Fox,
8,9,November 5,3:25 p.m.,at Philadelphia Eagles,,,Lincoln Financial Field,Fox,
9,10,November 12,3:25 p.m.,New York Giants,,,AT&T Stadium,Fox,
10,11,November 19,12:00 p.m.,at Carolina Panthers,,,Bank of America Stadium,Fox,
11,12,November 23,3:30 p.m.,Washington Commanders,,,AT&T Stadium,CBS,
12,13,November 30,7:15 p.m.,Seattle Seahawks,,,AT&T Stadium,Prime Video,
13,14,December 10,7:20 p.m.,Philadelphia Eagles,,,AT&T Stadium,NBC,
14,15,December 17,3:25 p.m.,at Buffalo Bills,,,Highmark Stadium,Fox,
15,16,December 24,3:25 p.m.,at Miami Dolphins,,,Hard Rock Stadium,Fox,
16,17,December 30,7:15 p.m.,Detroit Lions,,,AT&T Stadium,ESPN/ABC,
17,18,TBD (January 6/7),TBD,at Washington Commanders,,,FedExField,TBD,
