,Week,Date,Time (ET),Opponent,Result,Record,Venue,TV,Recap
0,1,September 10,4:25 p.m.,at Los Angeles Chargers,W 36–34,1–0,SoFi Stadium,CBS,Recap
1,2,September 17,8:20 p.m.,at New England Patriots,W 24–17,2–0,Gillette Stadium,NBC,Recap
2,3,September 24,1:00 p.m.,Denver Broncos,W 70–20,3–0,Hard Rock Stadium,CBS,Recap
3,4,October 1,1:00 p.m.,at Buffalo Bills,L 20–48,3–1,Highmark Stadium,CBS,Recap
4,5,October 8,1:00 p.m.,New York Giants,W 31–16,4–1,Hard Rock Stadium,Fox,Recap
5,6,October 15,1:00 p.m.,Carolina Panthers,,,Hard Rock Stadium,CBS,
6,7,October 22,8:20 p.m.,at Philadelphia Eagles,,,Lincoln Financial Field,NBC,
7,8,October 29,1:00 p.m.,New England Patriots,,,Hard Rock Stadium,CBS,
8,9,November 5,9:30 a.m.,at Kansas City Chiefs,,,Deutsche Bank Park (Frankfurt),NFLN,
9,10,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
10,11,November 19,1:00 p.m.,Las Vegas Raiders,,,Hard Rock Stadium,CBS,
11,12,November 24,3:00 p.m.,at New York Jets,,,MetLife Stadium,Prime Video,
12,13,December 3,1:00 p.m.,at Washington Commanders,,,FedExField,Fox,
13,14,December 11,8:15 p.m.,Tennessee Titans,,,Hard Rock Stadium,ESPN,
14,15,December 17,1:00 p.m.,New York Jets,,,Hard Rock Stadium,CBS,
15,16,December 24,4:25 p.m.,Dallas Cowboys,,,Hard Rock Stadium,Fox,
16,17,December 31,1:00 p.m.,at Baltimore Ravens,,,M&T Bank Stadium,CBS,
17,18,TBD (January 6/7),TBD,Buffalo Bills,,,Hard Rock Stadium,TBD,
