,Week,Date,Time (ET),Opponent,Result,Record,Venue,TV,Recap
0,1,September 10,1:00 p.m.,Carolina Panthers,W 24–10,1–0,Mercedes-Benz Stadium,Fox,Recap
1,2,September 17,1:00 p.m.,Green Bay Packers,W 25–24,2–0,Mercedes-Benz Stadium,Fox,Recap
2,3,September 24,1:00 p.m.,at Detroit Lions,L 6–20,2–1,Ford Field,Fox,Recap
3,4,October 1,9:30 a.m.,at Jacksonville Jaguars,L 7–23,2–2,Wembley Stadium (London),ESPN+,Recap
4,5,October 8,1:00 p.m.,Houston Texans,W 21–19,3–2,Mercedes-Benz Stadium,Fox,Recap
5,6,October 15,1:00 p.m.,Washington Commanders,,,Mercedes-Benz Stadium,CBS,
6,7,October 22,1:00 p.m.,at Tampa Bay Buccaneers,,,Raymond James Stadium,Fox,
7,8,October 29,1:00 p.m.,at Tennessee Titans,,,Nissan Stadium,CBS,
8,9,November 5,1:00 p.m.,Minnesota Vikings,,,Mercedes-Benz Stadium,Fox,
9,10,November 12,4:05 p.m.,at Arizona Cardinals,,,State Farm Stadium,CBS,
10,11,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
11,12,November 26,1:00 p.m.,New Orleans Saints,,,Mercedes-Benz Stadium,Fox,
12,13,December 3,1:00 p.m.,at New York Jets,,,MetLife Stadium,Fox,
13,14,December 10,1:00 p.m.,Tampa Bay Buccaneers,,,Mercedes-Benz Stadium,CBS,
14,15,TBD (December 14/16/17/18),TBD,at Carolina Panthers,,,Bank of America Stadium,TBD,
15,16,December 24,1:00 p.m.,Indianapolis Colts,,,Mercedes-Benz Stadium,Fox,
16,17,December 31,1:00 p.m.,at Chicago Bears,,,Soldier Field,CBS,
17,18,TBD (January 6/7),TBD,at New Orleans Saints,,,Caesars Superdome,TBD,
