,Week,Date,Time (ET),Opponent,Result,Record,Venue,TV,Recap
0,1,September 10,1:00 p.m.,at Indianapolis Colts,W 31–21,1–0,Lucas Oil Stadium,Fox,Recap
1,2,September 17,1:00 p.m.,Kansas City Chiefs,L 9–17,1–1,EverBank Stadium,CBS,Recap
2,3,September 24,1:00 p.m.,Houston Texans,L 17–37,1–2,EverBank Stadium,Fox,Recap
3,4,October 1,9:30 a.m.,Atlanta Falcons,W 23–7,2–2,Wembley Stadium (London),ESPN+,Recap
4,5,October 8,9:30 a.m.,at Buffalo Bills,W 25–20,3–2,Tottenham Hotspur Stadium (London),NFLN,Recap
5,6,October 15,1:00 p.m.,Indianapolis Colts,,,EverBank Stadium,CBS,
6,7,October 19,8:15 p.m.,at New Orleans Saints,,,Caesars Superdome,Prime Video,
7,8,October 29,1:00 p.m.,at Pittsburgh Steelers,,,Acrisure Stadium,CBS,
8,9,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
9,10,November 12,1:00 p.m.,San Francisco 49ers,,,EverBank Stadium,Fox,
10,11,November 19,1:00 p.m.,Tennessee Titans,,,EverBank Stadium,CBS,
11,12,November 26,1:00 p.m.,at Houston Texans,,,NRG Stadium,CBS,
12,13,December 4,8:15 p.m.,Cincinnati Bengals,,,EverBank Stadium,ESPN,
13,14,December 10,1:00 p.m.,at Cleveland Browns,,,Cleveland Browns Stadium,CBS,
14,15,December 17,8:20 p.m.,Baltimore Ravens,,,EverBank Stadium,NBC,
15,16,December 24,4:05 p.m.,at Tampa Bay Buccaneers,,,Raymond James Stadium,CBS,
16,17,December 31,1:00 p.m.,Carolina Panthers,,,EverBank Stadium,CBS,
17,18,TBD (January 6/7),TBD,at Tennessee Titans,,,Nissan Stadium,TBD,
