,Week,Date,Time (ET),Opponent,Result,Record,Venue,TV,Recap
0,1,September 7,8:20 p.m.,at Kansas City Chiefs,W 21–20,1–0,Arrowhead Stadium,NBC,Recap
1,2,September 17,1:00 p.m.,Seattle Seahawks,L 31–37 (OT),1–1,Ford Field,Fox,Recap
2,3,September 24,1:00 p.m.,Atlanta Falcons,W 20–6,2–1,Ford Field,Fox,Recap
3,4,September 28,8:15 p.m.,at Green Bay Packers,W 34–20,3–1,Lambeau Field,Prime Video,Recap
4,5,October 8,1:00 p.m.,Carolina Panthers,W 42–24,4–1,Ford Field,Fox,Recap
5,6,October 15,4:25 p.m.,at Tampa Bay Buccaneers,,,Raymond James Stadium,Fox,
6,7,October 22,1:00 p.m.,at Baltimore Ravens,,,M&T Bank Stadium,Fox,
7,8,October 30,8:15 p.m.,Las Vegas Raiders,,,Ford Field,ESPN/ABC,
8,9,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
9,10,November 12,4:05 p.m.,at Los Angeles Chargers,,,SoFi Stadium,CBS,
10,11,November 19,1:00 p.m.,Chicago Bears,,,Ford Field,Fox,
11,12,November 23,12:30 p.m.,Green Bay Packers,,,Ford Field,Fox,
12,13,December 3,1:00 p.m.,at New Orleans Saints,,,Caesars Superdome,Fox,
13,14,December 10,1:00 p.m.,at Chicago Bears,,,Soldier Field,Fox,
14,15,TBD (December 16/17/18),TBD,Denver Broncos,,,Ford Field,TBD,
15,16,December 24,1:00 p.m.,at Minnesota Vikings,,,U.S. Bank Stadium,Fox,
16,17,December 30,8:15 p.m.,at Dallas Cowboys,,,AT&T Stadium,ESPN/ABC,
17,18,TBD (January 6/7),TBD,Minnesota Vikings,,,Ford Field,TBD,
