,Week,Date,Time (CT),Opponent,Result,Record,Venue,TV,Recap
0,1,September 10,3:25 p.m.,at Chicago Bears,W 38–20,1–0,Soldier Field,Fox,Recap
1,2,September 17,12:00 p.m.,at Atlanta Falcons,L 24–25,1–1,Mercedes-Benz Stadium,Fox,Recap
2,3,September 24,12:00 p.m.,New Orleans Saints,W 18–17,2–1,Lambeau Field,Fox,Recap
3,4,September 28,7:15 p.m.,Detroit Lions,L 20–34,2–2,Lambeau Field,Prime Video,Recap
4,5,October 9,7:15 p.m.,at Las Vegas Raiders,,,Allegiant Stadium,ESPN/ABC,
5,6,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
6,7,October 22,3:25 p.m.,at Denver Broncos,,,Empower Field at Mile High,CBS,
7,8,October 29,12:00 p.m.,Minnesota Vikings,,,Lambeau Field,Fox,
8,9,November 5,12:00 p.m.,Los Angeles Rams,,,Lambeau Field,Fox,
9,10,November 12,12:00 p.m.,at Pittsburgh Steelers,,,Acrisure Stadium,CBS,
10,11,November 19,12:00 p.m.,Los Angeles Chargers,,,Lambeau Field,Fox,
11,12,November 23,11:30 a.m.,at Detroit Lions,,,Ford Field,Fox,
12,13,December 3,7:20 p.m.,Kansas City Chiefs,,,Lambeau Field,NBC,
13,14,December 11,7:15 p.m.,at New York Giants,,,MetLife Stadium,ABC,
14,15,December 17,12:00 p.m.,Tampa Bay Buccaneers,,,Lambeau Field,Fox,
15,16,December 24,12:00 p.m.,at Carolina Panthers,,,Bank of America Stadium,Fox,
16,17,December 31,7:20 p.m.,at Minnesota Vikings,,,U.S. Bank Stadium,NBC,
17,18,TBD (January 6/7),TBD,Chicago Bears,,,Lambeau Field,TBD,
