,Week,Date,Time (ET),Opponent,Result,Record,Venue,TV,Recap
0,1,September 10,1:00 p.m.,at Atlanta Falcons,L 10–24,0–1,Mercedes-Benz Stadium,Fox,Recap
1,2,September 18,7:15 p.m.,New Orleans Saints,L 17–20,0–2,Bank of America Stadium,ESPN,Recap
2,3,September 24,4:05 p.m.,at Seattle Seahawks,L 27–37,0–3,Lumen Field,CBS,Recap
3,4,October 1,1:00 p.m.,Minnesota Vikings,L 13–21,0–4,Bank of America Stadium,Fox,Recap
4,5,October 8,1:00 p.m.,at Detroit Lions,L 24–42,0–5,Ford Field,Fox,Recap
5,6,October 15,1:00 p.m.,at Miami Dolphins,,,Hard Rock Stadium,CBS,
6,7,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
7,8,October 29,1:00 p.m.,Houston Texans,,,Bank of America Stadium,Fox,
8,9,November 5,4:05 p.m.,Indianapolis Colts,,,Bank of America Stadium,CBS,
9,10,November 9,8:15 p.m.,at Chicago Bears,,,Soldier Field,Prime Video,
10,11,November 19,1:00 p.m.,Dallas Cowboys,,,Bank of America Stadium,Fox,
11,12,November 26,1:00 p.m.,at Tennessee Titans,,,Nissan Stadium,Fox,
12,13,December 3,1:00 p.m.,at Tampa Bay Buccaneers,,,Raymond James Stadium,CBS,
13,14,December 10,1:00 p.m.,at New Orleans Saints,,,Caesars Superdome,Fox,
14,15,TBD (December 14/16/17/18),TBD,Atlanta Falcons,,,Bank of America Stadium,TBD,
15,16,December 24,1:00 p.m.,Green Bay Packers,,,Bank of America Stadium,Fox,
16,17,December 31,1:00 p.m.,at Jacksonville Jaguars,,,EverBank Stadium,CBS,
17,18,TBD (January 6/7),TBD,Tampa Bay Buccaneers,,,Bank of America Stadium,TBD,
