,Week,Date,Time (PT),Opponent,Result,Record,Venue,TV,Recap
0,1,September 10,1:25 p.m.,at Denver Broncos,W 17–16,1–0,Empower Field at Mile High,CBS,Recap
1,2,September 17,10:00 a.m.,at Buffalo Bills,L 10–38,1–1,Highmark Stadium,CBS,Recap
2,3,September 24,5:20 p.m.,Pittsburgh Steelers,L 18–23,1–2,Allegiant Stadium,NBC,Recap
3,4,October 1,1:05 p.m.,at Los Angeles Chargers,L 17–24,1–3,SoFi Stadium,CBS,Recap
4,5,October 9,5:15 p.m.,Green Bay Packers,,,Allegiant Stadium,ESPN/ABC,
5,6,October 15,1:05 p.m.,New England Patriots,,,Allegiant Stadium,CBS,
6,7,October 22,10:00 a.m.,at Chicago Bears,,,Soldier Field,Fox,
7,8,October 30,5:15 p.m.,at Detroit Lions,,,Ford Field,ESPN/ABC,
8,9,November 5,1:25 p.m.,New York Giants,,,Allegiant Stadium,Fox,
9,10,November 12,5:20 p.m.,New York Jets,,,Allegiant Stadium,NBC,
10,11,November 19,10:00 a.m.,at Miami Dolphins,,,Hard Rock Stadium,CBS,
11,12,November 26,1:25 p.m.,Kansas City Chiefs,,,Allegiant Stadium,CBS,
12,13,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
13,14,December 10,1:05 p.m.,Minnesota Vikings,,,Allegiant Stadium,Fox,
14,15,December 14,5:15 p.m.,Los Angeles Chargers,,,Allegiant Stadium,Prime Video,
15,16,December 25,10:00 a.m.,at Kansas City Chiefs,,,Arrowhead Stadium,CBS/Nick,
16,17,December 31,10:00 a.m.,at Indianapolis Colts,,,Lucas Oil Stadium,CBS,
17,18,TBD (January 6/7),TBD,Denver Broncos,,,Allegiant Stadium,TBD,
