,Week,Date,Time (ET),Opponent,Result,Record,Venue,TV,Recap
0,1,September 10,1:00 p.m.,Houston Texans,W 25–9,1–0,M&T Bank Stadium,CBS,Recap
1,2,September 17,1:00 p.m.,at Cincinnati Bengals,W 27–24,2–0,Paycor Stadium,CBS,Recap
2,3,September 24,1:00 p.m.,Indianapolis Colts,L 19–22 (OT),2–1,M&T Bank Stadium,CBS,Recap
3,4,October 1,1:00 p.m.,at Cleveland Browns,W 28–3,3–1,Cleveland Browns Stadium,CBS,Recap
4,5,October 8,1:00 p.m.,at Pittsburgh Steelers,L 10–17,3–2,Acrisure Stadium,CBS,Recap
5,6,October 15,9:30 a.m.,at Tennessee Titans,,,Tottenham Hotspur Stadium (London),NFLN,
6,7,October 22,1:00 p.m.,Detroit Lions,,,M&T Bank Stadium,Fox,
7,8,October 29,4:25 p.m.,at Arizona Cardinals,,,State Farm Stadium,CBS,
8,9,November 5,1:00 p.m.,Seattle Seahawks,,,M&T Bank Stadium,CBS,
9,10,November 12,1:00 p.m.,Cleveland Browns,,,M&T Bank Stadium,Fox,
10,11,November 16,8:15 p.m.,Cincinnati Bengals,,,M&T Bank Stadium,Prime Video,
11,12,November 26,8:20 p.m.,at Los Angeles Chargers,,,SoFi Stadium,NBC,
12,13,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
13,14,December 10,1:00 p.m.,Los Angeles Rams,,,M&T Bank Stadium,Fox,
14,15,December 17,8:20 p.m.,at Jacksonville Jaguars,,,EverBank Stadium,NBC,
15,16,December 25,8:15 p.m.,at San Francisco 49ers,,,Levi's Stadium,ABC,
16,17,December 31,1:00 p.m.,Miami Dolphins,,,M&T Bank Stadium,CBS,
17,18,TBD (January 6/7),TBD,Pittsburgh Steelers,,,M&T Bank Stadium,TBD,
